Model = x1,y1,x2,y2,rotation,png?,id
254,86,500,290,352,0,1
10,10,710,580,0,1,2
34,34,770,500,0,0,3
9,112,466,566,0,1,4
377,297,530,425,350,1,5
8,232,492,575,0,1,6
47,242,500,567,0,1,7
295,122,386,203,350,0,8
113,57,364,256,0,0,9
168,41,307,126,0,0,10
172,15,674,515,0,1,11
27,141,582,433,0,1,12
99,88,220,261,5,1,13
472,540,855,860,0,1,14
593,111,833,390,0,1,15
496,131,611,261,0,1,16
70,102,333,246,0,1,17
17,160,475,480,0,1,18
459,60,,571,287,0,1,19
327,241,713,704,0,1,20
6,93,634,748,0,0,21
101,455,323,702,0,0,22
176,243,293,353,0,0,23
25,228,227,394,0,0,24
84,153,289,430,0,0,25
63,640,510,850,0,0,26
283,377,390,537,0,0,27
523,390,702,513,0,0,28
15,175,453,463,0,1,29
103,304,308,507,6,0,30
50,120,270,310,0,0,31
576,267,822,560,0,1,32
50,50,433,328,0,0,33
96,511,381,674,0,1,34
288,213,375,335,0,1,35
82,264,287,539,0,1,36
29,89,431,350,0,1,37
229,103,414,321,0,1,38
157,417,289,498,0,1,39
96,279,681,691,0,1,40
6,378,490,706,0,1,41
